,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
111,MICROBIOLOGY,6,16,63,38,0.4,2008
112,MINERALOGY,8,4,75,25,2.0,2008
113,MINING & MINERAL PROCESSING,4,3,100,0,1.3,2008
114,MULTIDISCIPLINARY SCIENCES,6,11,82,18,0.5,2008
115,MUSIC,2,1,100,0,2.0,2008
116,MYCOLOGY,2,7,71,29,0.3,2008
117,NANOSCIENCE & NANOTECHNOLOGY,3,5,100,0,0.6,2008
118,NEUROSCIENCES,2,9,78,22,0.2,2008
119,NUCLEAR SCIENCE & TECHNOLOGY,3,5,100,0,0.6,2008
120,NURSING,1,5,0,100,0.2,2008
121,NUTRITION & DIETETICS,6,14,46,54,0.4,2008
122,OBSTETRICS & GYNECOLOGY,3,12,50,50,0.3,2008
123,OCEANOGRAPHY,43,73,67,33,0.6,2008
124,ONCOLOGY,5,12,64,36,0.4,2008
125,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,5,7,100,0,0.7,2008
126,OPHTHALMOLOGY,1,1,100,0,1.0,2008
127,OPTICS,9,14,100,0,0.6,2008
128,ORNITHOLOGY,2,6,50,50,0.3,2008
129,PALEONTOLOGY,3,6,50,50,0.5,2008
130,PARASITOLOGY,2,6,60,40,0.3,2008
131,PEDIATRICS,1,7,33,67,0.1,2008
132,PERIPHERAL VASCULAR DISEASE,4,6,100,0,0.7,2008
133,PHARMACOLOGY & PHARMACY,31,52,62,38,0.6,2008
134,"PHYSICS, APPLIED",13,21,90,10,0.6,2008
135,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",6,13,92,8,0.5,2008
136,"PHYSICS, CONDENSED MATTER",8,11,64,36,0.7,2008
137,"PHYSICS, FLUIDS & PLASMAS",4,4,75,25,1.0,2008
138,"PHYSICS, MATHEMATICAL",8,9,89,11,0.9,2008
139,"PHYSICS, MULTIDISCIPLINARY",9,12,83,17,0.8,2008
140,"PHYSICS, NUCLEAR",5,10,100,0,0.5,2008
141,"PHYSICS, PARTICLES & FIELDS",12,14,93,7,0.9,2008
142,PHYSIOLOGY,9,32,42,58,0.3,2008
143,PLANT SCIENCES,38,65,75,25,0.6,2008
144,POLITICAL SCIENCE,1,1,100,0,1.0,2008
145,POLYMER SCIENCE,9,15,80,20,0.6,2008
146,PSYCHIATRY,7,7,71,29,1.0,2008
147,PSYCHOLOGY,9,12,50,50,0.8,2008
148,"PSYCHOLOGY, BIOLOGICAL",1,1,100,0,1.0,2008
149,"PSYCHOLOGY, CLINICAL",1,2,50,50,0.5,2008
150,"PSYCHOLOGY, MULTIDISCIPLINARY",7,9,44,56,0.8,2008
151,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",8,16,40,60,0.5,2008
152,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2,4,75,25,0.5,2008
153,RELIGION,1,1,100,0,1.0,2008
154,REMOTE SENSING,2,5,80,20,0.4,2008
155,REPRODUCTIVE BIOLOGY,2,6,67,33,0.3,2008
156,ROBOTICS,2,3,100,0,0.7,2008
157,SOCIAL ISSUES,1,3,67,33,0.3,2008
158,"SOCIAL SCIENCES, INTERDISCIPLINARY",2,3,33,67,0.7,2008
159,SOCIOLOGY,1,1,0,100,1.0,2008
160,SOIL SCIENCE,8,14,77,23,0.6,2008
161,SPECTROSCOPY,2,6,67,33,0.3,2008
162,STATISTICS & PROBABILITY,12,13,77,23,0.9,2008
163,SUBSTANCE ABUSE,1,1,0,0,1.0,2008
164,SURGERY,1,9,67,33,0.1,2008
165,TELECOMMUNICATIONS,1,1,100,0,1.0,2008
166,THERMODYNAMICS,7,11,73,27,0.6,2008
167,TOXICOLOGY,4,9,56,44,0.4,2008
168,TRANSPLANTATION,1,9,67,33,0.1,2008
169,TRANSPORTATION,3,4,75,25,0.8,2008
170,TRANSPORTATION SCIENCE & TECHNOLOGY,3,4,75,25,0.8,2008
171,TROPICAL MEDICINE,1,1,0,0,1.0,2008
172,UROLOGY & NEPHROLOGY,1,8,38,63,0.1,2008
173,VETERINARY SCIENCES,12,27,59,41,0.4,2008
174,VIROLOGY,1,1,100,0,1.0,2008
175,WATER RESOURCES,7,17,53,47,0.4,2008
176,ZOOLOGY,27,41,63,38,0.7,2008
0,AGRICULTURAL ENGINEERING,3,9,89,11,0.3,2009
1,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2,2,100,0,1.0,2009
2,"AGRICULTURE, MULTIDISCIPLINARY",46,107,62,38,0.4,2009
3,AGRONOMY,45,107,67,33,0.4,2009
4,ANATOMY & MORPHOLOGY,17,18,65,35,0.9,2009
5,ANTHROPOLOGY,3,2,100,0,1.5,2009
6,ARCHAEOLOGY,1,2,50,50,0.5,2009
7,ARCHITECTURE,7,9,78,22,0.8,2009
8,ASTRONOMY & ASTROPHYSICS,84,42,88,12,2.0,2009
9,AUTOMATION & CONTROL SYSTEMS,16,12,100,0,1.3,2009
10,BIOCHEMICAL RESEARCH METHODS,8,9,89,11,0.9,2009
11,BIOCHEMISTRY & MOLECULAR BIOLOGY,41,84,57,43,0.5,2009
12,BIODIVERSITY CONSERVATION,13,22,64,36,0.6,2009
13,BIOLOGY,7,25,44,56,0.3,2009
14,BIOPHYSICS,4,8,50,50,0.5,2009
15,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,15,40,59,41,0.4,2009
16,BUSINESS,5,5,40,60,1.0,2009
17,CARDIAC & CARDIOVASCULAR SYSTEMS,2,5,100,0,0.4,2009
18,CELL BIOLOGY,15,35,49,51,0.4,2009
19,CHEMISTRY,97,167,56,44,0.6,2009
20,"CHEMISTRY, ANALYTICAL",7,14,50,50,0.5,2009
21,"CHEMISTRY, APPLIED",16,37,62,38,0.4,2009
22,"CHEMISTRY, INORGANIC & NUCLEAR",5,9,56,44,0.6,2009
23,"CHEMISTRY, MEDICINAL",7,12,75,25,0.6,2009
24,"CHEMISTRY, MULTIDISCIPLINARY",38,88,60,40,0.4,2009
25,"CHEMISTRY, ORGANIC",14,21,53,47,0.7,2009
26,"CHEMISTRY, PHYSICAL",26,48,62,38,0.5,2009
27,CLINICAL NEUROLOGY,1,4,100,0,0.3,2009
28,COMMUNICATION,1,1,0,100,1.0,2009
29,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",19,24,87,13,0.8,2009
30,"COMPUTER SCIENCE, CYBERNETICS",1,3,67,33,0.3,2009
31,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2,5,100,0,0.4,2009
32,"COMPUTER SCIENCE, INFORMATION SYSTEMS",11,18,83,17,0.6,2009
33,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",4,9,78,22,0.4,2009
34,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",8,7,83,17,1.1,2009
35,"COMPUTER SCIENCE, THEORY & METHODS",16,23,82,18,0.7,2009
36,CONSTRUCTION & BUILDING TECHNOLOGY,3,4,100,0,0.8,2009
37,CRITICAL CARE MEDICINE,1,1,100,0,1.0,2009
38,CRYSTALLOGRAPHY,5,9,44,56,0.6,2009
39,"DENTISTRY, ORAL SURGERY & MEDICINE",4,12,42,58,0.3,2009
40,DEVELOPMENTAL BIOLOGY,6,21,62,38,0.3,2009
41,ECOLOGY,52,85,64,36,0.6,2009
42,ECONOMICS,11,10,60,40,1.1,2009
43,EDUCATION & EDUCATIONAL RESEARCH,2,2,0,100,1.0,2009
44,"EDUCATION, SCIENTIFIC DISCIPLINES",1,1,0,0,1.0,2009
45,ELECTROCHEMISTRY,1,1,100,0,1.0,2009
46,ENDOCRINOLOGY & METABOLISM,1,1,0,100,1.0,2009
47,ENERGY & FUELS,8,12,92,8,0.7,2009
48,"ENGINEERING, BIOMEDICAL",2,6,75,25,0.3,2009
49,"ENGINEERING, CHEMICAL",31,62,67,33,0.5,2009
50,"ENGINEERING, CIVIL",11,13,92,8,0.8,2009
51,"ENGINEERING, ELECTRICAL & ELECTRONIC",40,33,94,6,1.2,2009
52,"ENGINEERING, ENVIRONMENTAL",18,49,62,38,0.4,2009
53,"ENGINEERING, GEOLOGICAL",3,2,100,0,1.5,2009
54,"ENGINEERING, INDUSTRIAL",7,12,100,0,0.6,2009
55,"ENGINEERING, MANUFACTURING",4,4,100,0,1.0,2009
56,"ENGINEERING, MECHANICAL",9,12,100,0,0.8,2009
57,"ENGINEERING, MULTIDISCIPLINARY",11,13,100,0,0.8,2009
58,ENTOMOLOGY,8,12,92,8,0.7,2009
59,ENVIRONMENTAL SCIENCES,36,78,62,38,0.5,2009
60,ENVIRONMENTAL STUDIES,4,6,50,50,0.7,2009
61,EVOLUTIONARY BIOLOGY,9,12,92,8,0.8,2009
62,FISHERIES,14,19,79,21,0.7,2009
63,FOOD SCIENCE & TECHNOLOGY,25,55,64,36,0.5,2009
64,FORESTRY,22,57,79,21,0.4,2009
65,GASTROENTEROLOGY & HEPATOLOGY,1,1,100,0,1.0,2009
66,GENETICS & HEREDITY,5,8,88,13,0.6,2009
67,GEOCHEMISTRY & GEOPHYSICS,8,8,75,25,1.0,2009
68,"GEOGRAPHY, PHYSICAL",6,11,82,18,0.5,2009
69,GEOLOGY,20,28,64,36,0.7,2009
70,"GEOSCIENCES, MULTIDISCIPLINARY",18,27,67,33,0.7,2009
71,HEALTH CARE SCIENCES & SERVICES,2,3,33,67,0.7,2009
72,HEALTH POLICY & SERVICES,1,2,0,100,0.5,2009
73,HEMATOLOGY,3,5,60,40,0.6,2009
74,HISTORY,3,3,100,0,1.0,2009
75,HORTICULTURE,21,34,79,21,0.6,2009
76,"HUMANITIES, MULTIDISCIPLINARY",3,3,100,0,1.0,2009
77,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,2,4,100,0,0.5,2009
78,IMMUNOLOGY,6,13,62,38,0.5,2009
79,INFECTIOUS DISEASES,6,12,64,36,0.5,2009
80,INFORMATION SCIENCE & LIBRARY SCIENCE,3,6,83,17,0.5,2009
81,INSTRUMENTS & INSTRUMENTATION,14,13,77,23,1.1,2009
82,INTEGRATIVE & COMPLEMENTARY MEDICINE,9,18,56,44,0.5,2009
83,LANGUAGE & LINGUISTICS,13,19,26,74,0.7,2009
84,LAW,6,2,100,0,3.0,2009
85,LIMNOLOGY,5,11,73,27,0.5,2009
86,LINGUISTICS,13,19,26,74,0.7,2009
87,LITERATURE,14,14,57,43,1.0,2009
88,"LITERATURE, ROMANCE",14,14,57,43,1.0,2009
89,MANAGEMENT,4,4,25,75,1.0,2009
90,MARINE & FRESHWATER BIOLOGY,48,87,64,36,0.6,2009
91,"MATERIALS SCIENCE, CERAMICS",5,4,75,25,1.3,2009
92,"MATERIALS SCIENCE, COATINGS & FILMS",1,1,0,100,1.0,2009
93,"MATERIALS SCIENCE, COMPOSITES",1,1,0,100,1.0,2009
94,"MATERIALS SCIENCE, MULTIDISCIPLINARY",23,30,55,45,0.8,2009
95,"MATERIALS SCIENCE, PAPER & WOOD",17,39,70,30,0.4,2009
96,"MATERIALS SCIENCE, TEXTILES",1,4,75,25,0.3,2009
97,MATHEMATICAL & COMPUTATIONAL BIOLOGY,7,9,78,22,0.8,2009
98,MATHEMATICS,57,36,86,14,1.6,2009
99,"MATHEMATICS, APPLIED",36,25,92,8,1.4,2009
100,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4,4,100,0,1.0,2009
101,MECHANICS,8,6,100,0,1.3,2009
102,MEDICAL INFORMATICS,2,2,100,0,1.0,2009
103,"MEDICINE, GENERAL & INTERNAL",13,49,45,55,0.3,2009
104,"MEDICINE, LEGAL",2,2,100,0,1.0,2009
105,"MEDICINE, RESEARCH & EXPERIMENTAL",4,12,64,36,0.3,2009
106,METALLURGY & METALLURGICAL ENGINEERING,12,20,61,39,0.6,2009
107,METEOROLOGY & ATMOSPHERIC SCIENCES,5,10,60,40,0.5,2009
108,MICROBIOLOGY,8,16,73,27,0.5,2009
109,MICROSCOPY,1,6,67,33,0.2,2009
110,MINERALOGY,4,6,83,17,0.7,2009
111,MINING & MINERAL PROCESSING,2,2,100,0,1.0,2009
112,MULTIDISCIPLINARY SCIENCES,1,1,100,0,1.0,2009
113,MUSIC,1,1,100,0,1.0,2009
114,MYCOLOGY,1,1,0,100,1.0,2009
115,NANOSCIENCE & NANOTECHNOLOGY,5,8,88,13,0.6,2009
116,NEUROSCIENCES,10,22,59,41,0.5,2009
117,NUCLEAR SCIENCE & TECHNOLOGY,3,4,100,0,0.8,2009
118,NURSING,3,4,25,75,0.8,2009
119,NUTRITION & DIETETICS,4,7,57,43,0.6,2009
120,OBSTETRICS & GYNECOLOGY,3,5,80,20,0.6,2009
121,OCEANOGRAPHY,58,99,69,31,0.6,2009
122,ONCOLOGY,10,27,54,46,0.4,2009
123,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,8,9,100,0,0.9,2009
124,OPTICS,9,13,100,0,0.7,2009
125,ORNITHOLOGY,2,5,60,40,0.4,2009
126,PALEONTOLOGY,2,2,100,0,1.0,2009
127,PARASITOLOGY,2,6,67,33,0.3,2009
128,PATHOLOGY,4,8,29,71,0.5,2009
129,PEDIATRICS,2,4,75,25,0.5,2009
130,PERIPHERAL VASCULAR DISEASE,5,5,60,40,1.0,2009
131,PHARMACOLOGY & PHARMACY,33,61,64,36,0.5,2009
132,"PHYSICS, APPLIED",6,3,67,33,2.0,2009
133,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",9,14,100,0,0.6,2009
134,"PHYSICS, CONDENSED MATTER",6,3,67,33,2.0,2009
135,"PHYSICS, FLUIDS & PLASMAS",5,3,100,0,1.7,2009
136,"PHYSICS, MATHEMATICAL",5,9,78,22,0.6,2009
137,"PHYSICS, MULTIDISCIPLINARY",10,15,100,0,0.7,2009
138,"PHYSICS, NUCLEAR",9,13,92,8,0.7,2009
139,"PHYSICS, PARTICLES & FIELDS",14,11,91,9,1.3,2009
140,PHYSIOLOGY,6,11,55,45,0.5,2009
141,PLANNING & DEVELOPMENT,1,4,50,50,0.3,2009
142,PLANT SCIENCES,49,104,65,35,0.5,2009
143,POLITICAL SCIENCE,6,2,100,0,3.0,2009
144,POLYMER SCIENCE,18,25,58,42,0.7,2009
145,PSYCHIATRY,2,5,40,60,0.4,2009
146,PSYCHOLOGY,12,16,50,50,0.8,2009
147,"PSYCHOLOGY, BIOLOGICAL",1,1,100,0,1.0,2009
148,"PSYCHOLOGY, CLINICAL",3,6,33,67,0.5,2009
149,"PSYCHOLOGY, EXPERIMENTAL",1,1,100,0,1.0,2009
150,"PSYCHOLOGY, MULTIDISCIPLINARY",6,6,50,50,1.0,2009
151,"PSYCHOLOGY, SOCIAL",2,3,67,33,0.7,2009
152,PUBLIC ADMINISTRATION,4,7,43,57,0.6,2009
153,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",8,11,64,36,0.7,2009
154,REMOTE SENSING,2,3,100,0,0.7,2009
155,REPRODUCTIVE BIOLOGY,4,11,73,27,0.4,2009
156,RHEUMATOLOGY,1,3,100,0,0.3,2009
157,SOIL SCIENCE,8,22,73,27,0.4,2009
158,SPECTROSCOPY,1,4,50,50,0.3,2009
159,SPORT SCIENCES,1,1,100,0,1.0,2009
160,STATISTICS & PROBABILITY,4,3,67,33,1.3,2009
161,SURGERY,20,53,86,14,0.4,2009
162,TELECOMMUNICATIONS,2,2,100,0,1.0,2009
163,THERMODYNAMICS,8,8,75,25,1.0,2009
164,TOXICOLOGY,11,27,67,33,0.4,2009
165,TRANSPLANTATION,1,1,100,0,1.0,2009
166,TRANSPORTATION,1,1,100,0,1.0,2009
167,TRANSPORTATION SCIENCE & TECHNOLOGY,1,1,100,0,1.0,2009
168,URBAN STUDIES,1,1,0,100,1.0,2009
169,VETERINARY SCIENCES,14,44,67,33,0.3,2009
170,VIROLOGY,1,2,100,0,0.5,2009
171,WATER RESOURCES,19,34,68,32,0.6,2009
172,ZOOLOGY,26,35,66,34,0.7,2009
0,ACOUSTICS,1,1,100,0,1.0,2010
1,AGRICULTURAL ECONOMICS & POLICY,1,1,100,0,1.0,2010
2,AGRICULTURAL ENGINEERING,10,20,60,40,0.5,2010
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3,4,100,0,0.8,2010
4,"AGRICULTURE, MULTIDISCIPLINARY",54,124,69,31,0.4,2010
5,AGRONOMY,41,86,73,27,0.5,2010
6,ANATOMY & MORPHOLOGY,22,33,55,45,0.7,2010
7,ARCHITECTURE,5,6,83,17,0.8,2010
8,ASTRONOMY & ASTROPHYSICS,80,41,80,20,2.0,2010
9,AUTOMATION & CONTROL SYSTEMS,11,16,100,0,0.7,2010
10,BIOCHEMICAL RESEARCH METHODS,7,11,45,55,0.6,2010
11,BIOCHEMISTRY & MOLECULAR BIOLOGY,44,98,57,43,0.4,2010
12,BIODIVERSITY CONSERVATION,19,41,56,44,0.5,2010
13,BIOLOGY,7,6,80,20,1.2,2010
14,BIOPHYSICS,8,21,71,29,0.4,2010
15,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,24,51,43,57,0.5,2010
16,BUSINESS,3,4,50,50,0.8,2010
17,CARDIAC & CARDIOVASCULAR SYSTEMS,3,4,100,0,0.8,2010
18,CELL BIOLOGY,8,25,48,52,0.3,2010
19,CHEMISTRY,90,167,67,33,0.5,2010
20,"CHEMISTRY, ANALYTICAL",11,26,62,38,0.4,2010
21,"CHEMISTRY, APPLIED",12,39,63,37,0.3,2010
22,"CHEMISTRY, INORGANIC & NUCLEAR",6,11,73,27,0.5,2010
23,"CHEMISTRY, MEDICINAL",9,16,56,44,0.6,2010
24,"CHEMISTRY, MULTIDISCIPLINARY",38,77,65,35,0.5,2010
25,"CHEMISTRY, ORGANIC",7,21,67,33,0.3,2010
26,"CHEMISTRY, PHYSICAL",23,38,73,27,0.6,2010
27,COMMUNICATION,2,1,0,100,2.0,2010
28,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14,21,76,24,0.7,2010
29,"COMPUTER SCIENCE, CYBERNETICS",1,4,100,0,0.3,2010
30,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3,3,100,0,1.0,2010
31,"COMPUTER SCIENCE, INFORMATION SYSTEMS",15,20,65,35,0.8,2010
32,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11,18,78,22,0.6,2010
33,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6,8,100,0,0.8,2010
34,"COMPUTER SCIENCE, THEORY & METHODS",16,22,77,23,0.7,2010
35,CONSTRUCTION & BUILDING TECHNOLOGY,5,6,100,0,0.8,2010
36,CRYSTALLOGRAPHY,3,3,67,33,1.0,2010
37,"DENTISTRY, ORAL SURGERY & MEDICINE",5,10,78,22,0.5,2010
38,DEVELOPMENTAL BIOLOGY,11,32,52,48,0.3,2010
39,ECOLOGY,52,86,60,40,0.6,2010
40,ECONOMICS,7,9,67,33,0.8,2010
41,EDUCATION & EDUCATIONAL RESEARCH,5,8,50,50,0.6,2010
42,"EDUCATION, SCIENTIFIC DISCIPLINES",1,1,100,0,1.0,2010
43,ELECTROCHEMISTRY,2,6,80,20,0.3,2010
44,ENDOCRINOLOGY & METABOLISM,11,25,39,61,0.4,2010
45,ENERGY & FUELS,11,17,65,35,0.6,2010
46,"ENGINEERING, BIOMEDICAL",3,7,83,17,0.4,2010
47,"ENGINEERING, CHEMICAL",19,42,66,34,0.5,2010
48,"ENGINEERING, CIVIL",12,13,92,8,0.9,2010
49,"ENGINEERING, ELECTRICAL & ELECTRONIC",38,43,90,10,0.9,2010
50,"ENGINEERING, ENVIRONMENTAL",13,22,73,27,0.6,2010
51,"ENGINEERING, GEOLOGICAL",3,3,100,0,1.0,2010
52,"ENGINEERING, INDUSTRIAL",5,10,100,0,0.5,2010
53,"ENGINEERING, MANUFACTURING",3,6,100,0,0.5,2010
54,"ENGINEERING, MECHANICAL",9,13,83,17,0.7,2010
55,"ENGINEERING, MULTIDISCIPLINARY",13,14,93,7,0.9,2010
